,time,open_cnt,c_cnt
1849,2016-07-27 11:34:00,16,10
1850,2016-07-27 11:35:00,9,19
1851,2016-07-27 11:36:00,13,16
1852,2016-07-27 11:37:00,26,25
1853,2016-07-27 11:38:00,16,11
1854,2016-07-27 11:39:00,16,19
1855,2016-07-27 11:40:00,23,18
1856,2016-07-27 11:41:00,9,16
1857,2016-07-27 11:42:00,23,10
1858,2016-07-27 11:43:00,22,15
1859,2016-07-27 11:44:00,16,21
1860,2016-07-27 11:45:00,15,16
1861,2016-07-27 11:46:00,16,15
1862,2016-07-27 11:47:00,14,20
1863,2016-07-27 11:48:00,16,14
1864,2016-07-27 11:49:00,9,15
1865,2016-07-27 11:50:00,17,19
1866,2016-07-27 11:51:00,15,20
1867,2016-07-27 11:52:00,22,15
1868,2016-07-27 11:53:00,17,18
1869,2016-07-27 11:54:00,22,18
1870,2016-07-27 11:55:00,15,21
1871,2016-07-27 11:56:00,16,18
1872,2016-07-27 11:57:00,13,21
1873,2016-07-27 11:58:00,16,17
1874,2016-07-27 11:59:00,13,15
1875,2016-07-27 12:00:00,23,19
1876,2016-07-27 12:01:00,13,13
1877,2016-07-27 12:02:00,15,14
1878,2016-07-27 12:03:00,20,21
1879,2016-07-27 12:04:00,12,18
1880,2016-07-27 12:05:00,22,17
1881,2016-07-27 12:06:00,14,8
1882,2016-07-27 12:07:00,24,18
1883,2016-07-27 12:08:00,19,15
1884,2016-07-27 12:09:00,15,22
1885,2016-07-27 12:10:00,7,22
1886,2016-07-27 12:11:00,16,15
1887,2016-07-27 12:12:00,16,13
1888,2016-07-27 12:13:00,15,14
1889,2016-07-27 12:14:00,19,16
1890,2016-07-27 12:15:00,21,18
1891,2016-07-27 12:16:00,14,11
1892,2016-07-27 12:17:00,14,16
1893,2016-07-27 12:18:00,18,18
1894,2016-07-27 12:19:00,14,17
1895,2016-07-27 12:20:00,20,13
1896,2016-07-27 12:21:00,11,18
1897,2016-07-27 12:22:00,17,22
1898,2016-07-27 12:23:00,19,20
1899,2016-07-27 12:24:00,21,13
1900,2016-07-27 12:25:00,12,12
1901,2016-07-27 12:26:00,17,19
1902,2016-07-27 12:27:00,10,22
1903,2016-07-27 12:28:00,29,26
1904,2016-07-27 12:29:00,18,16
1905,2016-07-27 12:30:00,14,14
1906,2016-07-27 12:31:00,22,10
1907,2016-07-27 12:32:00,14,14
1908,2016-07-27 12:33:00,19,21
1909,2016-07-27 12:34:00,20,13
1910,2016-07-27 12:35:00,19,22
1911,2016-07-27 12:36:00,11,18
1912,2016-07-27 12:37:00,11,15
1913,2016-07-27 12:38:00,12,16
1914,2016-07-27 12:39:00,23,13
1915,2016-07-27 12:40:00,14,14
1916,2016-07-27 12:41:00,10,12
1917,2016-07-27 12:42:00,21,17
1918,2016-07-27 12:43:00,20,20
1919,2016-07-27 12:44:00,19,19
1920,2016-07-27 12:45:00,12,11
1921,2016-07-27 12:46:00,24,20
1922,2016-07-27 12:47:00,16,11
1923,2016-07-27 12:48:00,15,22
1924,2016-07-27 12:49:00,18,18
1925,2016-07-27 12:50:00,12,17
1926,2016-07-27 12:51:00,18,21
1927,2016-07-27 12:52:00,15,19
1928,2016-07-27 12:53:00,13,14
1929,2016-07-27 12:54:00,24,10
1930,2016-07-27 12:55:00,16,19
1931,2016-07-27 12:56:00,20,20
1932,2016-07-27 12:57:00,14,20
1933,2016-07-27 12:58:00,23,17
1934,2016-07-27 12:59:00,12,18
1935,2016-07-27 13:00:00,21,26
1936,2016-07-27 13:01:00,15,17
1937,2016-07-27 13:02:00,12,10
1938,2016-07-27 13:03:00,16,23
1939,2016-07-27 13:04:00,19,10
1940,2016-07-27 13:05:00,16,13
1941,2016-07-27 13:06:00,20,21
1942,2016-07-27 13:07:00,23,15
1943,2016-07-27 13:08:00,11,15
1944,2016-07-27 13:09:00,9,17
1945,2016-07-27 13:10:00,14,17
1946,2016-07-27 13:11:00,25,20
1947,2016-07-27 13:12:00,16,24
1948,2016-07-27 13:13:00,15,25
